ID,Full Name,Birth Date,Formatted Date
1,John Smith,1/1/2000,1-Jan-00
2,Mary Johnson,1/2/1983,2-Jan-83
3,James Williams,1/3/1980,3-Jan-80
4,Patricia Brown,1/4/2003,4-Jan-03
5,Robert Jones,1/5/1988,5-Jan-88
6,Jennifer Garcia,1/6/1987,6-Jan-87
7,Michael Miller,1/7/1987,7-Jan-87
8,Linda Davis,1/8/1984,8-Jan-84
9,William Rodriguez,1/9/2003,9-Jan-03
10,Elizabeth Martinez,1/10/1983,10-Jan-83
11,David Hernandez,1/11/2001,11-Jan-01
12,Barbara Lopez,1/12/2003,12-Jan-03
13,Richard Gonzalez,1/13/1997,13-Jan-97
14,Susan Wilson,1/14/1982,14-Jan-82
15,Joseph Anderson,1/15/1998,15-Jan-98
16,Jessica Thomas,1/16/1993,16-Jan-93
17,Thomas Taylor,1/17/1981,17-Jan-81
18,Sarah Moore,1/18/1980,18-Jan-80
19,Charles Jackson,1/19/1982,19-Jan-82
20,Karen Martin,1/20/1986,20-Jan-86
21,Christopher Lee,1/21/1987,21-Jan-87
22,Nancy Perez,1/22/1996,22-Jan-96
23,Daniel Thompson,1/23/1999,23-Jan-99
24,Lisa White,1/24/1980,24-Jan-80
25,Matthew Harris,1/25/1997,25-Jan-97
26,Betty Sanchez,1/26/1986,26-Jan-86
27,Anthony Clark,1/27/2002,27-Jan-02
28,Margaret Ramirez,1/28/2000,28-Jan-00
29,Mark Lewis,1/29/2002,29-Jan-02
30,Sandra Robinson,1/30/1997,30-Jan-97
31,Steven Walker,1/31/1993,31-Jan-93
32,Ashley Young,2/1/1987,1-Feb-87
33,Paul Allen,2/2/1994,2-Feb-94
34,Kimberly King,2/3/1998,3-Feb-98
35,Andrew Wright,2/4/1988,4-Feb-88
36,Emily Scott,2/5/2005,5-Feb-05
37,Joshua Torres,2/6/1980,6-Feb-80
38,Donna Nguyen,2/7/2004,7-Feb-04
39,Kenneth Hill,2/8/2005,8-Feb-05
40,Michelle Flores,2/9/1985,9-Feb-85
41,Kevin Smith,2/10/2002,10-Feb-02
42,Carol Johnson,2/11/1993,11-Feb-93
43,Brian Williams,2/12/1990,12-Feb-90
44,Amanda Brown,2/13/1988,13-Feb-88
45,George Jones,2/14/1984,14-Feb-84
46,Dorothy Garcia,2/15/1986,15-Feb-86
47,Timothy Miller,2/16/2004,16-Feb-04
48,Melissa Davis,2/17/1990,17-Feb-90
49,John Rodriguez,2/18/1983,18-Feb-83
50,Mary Martinez,2/19/1982,19-Feb-82
51,James Hernandez,2/20/1992,20-Feb-92
52,Patricia Lopez,2/21/1983,21-Feb-83
53,Robert Gonzalez,2/22/1991,22-Feb-91
54,Jennifer Wilson,2/23/1991,23-Feb-91
55,Michael Anderson,2/24/1999,24-Feb-99
56,Linda Thomas,2/25/1988,25-Feb-88
57,William Taylor,2/26/2005,26-Feb-05
58,Elizabeth Moore,2/27/1981,27-Feb-81
59,David Jackson,2/28/2003,28-Feb-03
60,Barbara Martin,2/29/1992,29-Feb-92
61,Richard Lee,3/1/1997,1-Mar-97
62,Susan Perez,3/2/1983,2-Mar-83
63,Joseph Thompson,3/3/1992,3-Mar-92
64,Jessica White,3/4/1982,4-Mar-82
65,Thomas Harris,3/5/1997,5-Mar-97
66,Sarah Sanchez,3/6/1989,6-Mar-89
67,Charles Clark,3/7/2000,7-Mar-00
68,Karen Ramirez,3/8/1999,8-Mar-99
69,Christopher Lewis,3/9/1991,9-Mar-91
70,Nancy Robinson,3/10/1998,10-Mar-98
71,Daniel Walker,3/11/1986,11-Mar-86
72,Lisa Young,3/12/2002,12-Mar-02
73,Matthew Allen,3/13/1982,13-Mar-82
74,Betty King,3/14/1981,14-Mar-81
75,Anthony Wright,3/15/2001,15-Mar-01
76,Margaret Scott,3/16/1987,16-Mar-87
77,Mark Torres,3/17/2004,17-Mar-04
78,Sandra Nguyen,3/18/1989,18-Mar-89
79,Steven Hill,3/19/1982,19-Mar-82
80,Ashley Flores,3/20/1987,20-Mar-87
81,Paul Smith,3/21/1983,21-Mar-83
82,Kimberly Johnson,3/22/1992,22-Mar-92
83,Andrew Williams,3/23/1988,23-Mar-88
84,Emily Brown,3/24/1994,24-Mar-94
85,Joshua Jones,3/25/2000,25-Mar-00
86,Donna Garcia,3/26/1991,26-Mar-91
87,Kenneth Miller,3/27/1985,27-Mar-85
88,Michelle Davis,3/28/1991,28-Mar-91
89,Kevin Rodriguez,3/29/1991,29-Mar-91
90,Carol Martinez,3/30/1986,30-Mar-86
91,Brian Hernandez,3/31/2001,31-Mar-01
92,Amanda Lopez,4/1/1988,1-Apr-88
93,George Gonzalez,4/2/2002,2-Apr-02
94,Dorothy Wilson,4/3/2001,3-Apr-01
95,Timothy Anderson,4/4/2000,4-Apr-00
96,Melissa Thomas,4/5/1982,5-Apr-82
97,John Taylor,4/6/1999,6-Apr-99
98,Mary Moore,4/7/2000,7-Apr-00
99,James Jackson,4/8/1985,8-Apr-85
100,Patricia Martin,4/9/1997,9-Apr-97
101,Robert Lee,4/10/2003,10-Apr-03
102,Jennifer Perez,4/11/1987,11-Apr-87
103,Michael Thompson,4/12/1985,12-Apr-85
104,Linda White,4/13/1994,13-Apr-94
105,William Harris,4/14/1992,14-Apr-92
106,Elizabeth Sanchez,4/15/1988,15-Apr-88
107,David Clark,4/16/2000,16-Apr-00
108,Barbara Ramirez,4/17/2002,17-Apr-02
109,Richard Lewis,4/18/1997,18-Apr-97
110,Susan Robinson,4/19/1987,19-Apr-87
111,Joseph Walker,4/20/2001,20-Apr-01
112,Jessica Young,4/21/1990,21-Apr-90
113,Thomas Allen,4/22/2004,22-Apr-04
114,Sarah King,4/23/2004,23-Apr-04
115,Charles Wright,4/24/1981,24-Apr-81
116,Karen Scott,4/25/1987,25-Apr-87
117,Christopher Torres,4/26/1981,26-Apr-81
118,Nancy Nguyen,4/27/2005,27-Apr-05
119,Daniel Hill,4/28/1990,28-Apr-90
120,Lisa Flores,4/29/1992,29-Apr-92
121,Matthew Smith,4/30/1988,30-Apr-88
122,Betty Johnson,5/1/1982,1-May-82
123,Anthony Williams,5/2/1986,2-May-86
124,Margaret Brown,5/3/1998,3-May-98
125,Mark Jones,5/4/2002,4-May-02
126,Sandra Garcia,5/5/1990,5-May-90
127,Steven Miller,5/6/1986,6-May-86
128,Ashley Davis,5/7/2000,7-May-00
129,Paul Rodriguez,5/8/1995,8-May-95
130,Kimberly Martinez,5/9/1992,9-May-92
131,Andrew Hernandez,5/10/2000,10-May-00
132,Emily Lopez,5/11/1994,11-May-94
133,Joshua Gonzalez,5/12/1984,12-May-84
134,Donna Wilson,5/13/1988,13-May-88
135,Kenneth Anderson,5/14/1984,14-May-84
136,Michelle Thomas,5/15/1987,15-May-87
137,Kevin Taylor,5/16/2003,16-May-03
138,Carol Moore,5/17/1997,17-May-97
139,Brian Jackson,5/18/1997,18-May-97
140,Amanda Martin,5/19/1988,19-May-88
141,George Lee,5/20/2003,20-May-03
142,Dorothy Perez,5/21/1998,21-May-98
143,Timothy Thompson,5/22/1993,22-May-93
144,Melissa White,5/23/1998,23-May-98
145,John Harris,5/24/1992,24-May-92
146,Mary Sanchez,5/25/1991,25-May-91
147,James Clark,5/26/1987,26-May-87
148,Patricia Ramirez,5/27/1984,27-May-84
149,Robert Lewis,5/28/1996,28-May-96
150,Jennifer Robinson,5/29/1995,29-May-95
151,Michael Walker,5/30/1982,30-May-82
152,Linda Young,5/31/2004,31-May-04
153,William Allen,6/1/1981,1-Jun-81
154,Elizabeth King,6/2/1983,2-Jun-83
155,David Wright,6/3/1984,3-Jun-84
156,Barbara Scott,6/4/2000,4-Jun-00
157,Richard Torres,6/5/1985,5-Jun-85
158,Susan Nguyen,6/6/2005,6-Jun-05
159,Joseph Hill,6/7/2001,7-Jun-01
160,Jessica Flores,6/8/1993,8-Jun-93
161,Thomas Smith,6/9/1999,9-Jun-99
162,Sarah Johnson,6/10/1982,10-Jun-82
163,Charles Williams,6/11/1992,11-Jun-92
164,Karen Brown,6/12/1992,12-Jun-92
165,Christopher Jones,6/13/1999,13-Jun-99
166,Nancy Garcia,6/14/1994,14-Jun-94
